id,student,task,time_start,time_end,time_spent,solved,reported_flow,predicted_flow,attempt_count
42,7,22,2015-12-11 12:51:33,2015-12-11 12:52:59,84,1,2,-0.0708835079605845,2
41,7,12,2015-12-11 12:50:59,2015-12-11 12:51:33,31,1,3,0.0503186378788738,1
40,7,6,2015-12-11 12:50:09,2015-12-11 12:50:58,47,1,3,-0.0274520588367774,3
39,1,38,2015-12-11 12:39:45,,0,0,0,-0.2184435190272,0
38,1,36,2015-12-11 12:38:20,2015-12-11 12:39:45,82,1,2,0.0446033520605863,1
37,1,35,2015-12-11 12:37:03,2015-12-11 12:38:20,75,1,2,0.041173697012012,1
36,1,40,2015-12-11 12:35:05,2015-12-11 12:37:03,117,1,2,0.0205898127279179,1
35,1,41,2015-12-11 12:32:18,2015-12-11 12:35:04,164,1,2,0.0823000074125226,5
34,1,42,2015-12-11 12:29:45,2015-12-11 12:31:54,130,0,0,0.0160146024534695,3
33,1,32,2015-12-11 12:28:22,2015-12-11 12:29:45,80,1,2,-0.0377437127643615,1
32,6,38,2015-12-11 09:10:34,,0,0,0,0.865683177526192,0
31,6,38,2015-12-11 09:10:28,,0,0,0,0.865683177526192,0
30,6,38,2015-12-11 09:10:25,,0,0,0,0.865683177526192,0
29,6,38,2015-12-11 09:09:18,,0,0,0,0.865683177526192,0
28,6,33,2015-12-11 09:05:57,2015-12-11 09:09:18,199,1,2,0.859699734256236,1
27,4,22,2015-12-11 08:50:51,,0,0,0,-0.078875778072023,0
26,6,43,2015-12-11 07:53:09,2015-12-11 07:55:56,167,0,0,0.782111311063655,1
25,6,44,2015-12-11 07:51:58,2015-12-11 07:53:09,68,1,3,-0.0183022401242725,1
24,6,32,2015-12-11 07:50:44,2015-12-11 07:51:57,70,1,3,0.138116490320709,1
23,6,17,2015-12-11 07:49:46,2015-12-11 07:50:44,54,1,3,-0.026308406214761,3
22,6,12,2015-12-11 07:49:12,2015-12-11 07:49:46,32,1,3,-0.0297392898783268,1
21,6,4,2015-12-11 07:48:37,2015-12-11 07:49:12,31,1,3,-0.0251647302129966,1
20,2,4,2015-12-10 21:00:54,,0,0,0,-0.0251647302129966,0
19,5,17,2015-12-10 19:26:42,,0,0,0,0.00571964576879036,0
18,5,12,2015-12-10 19:22:04,2015-12-10 19:26:42,274,1,3,-0.127882974068659,1
17,5,2,2015-12-10 19:21:41,2015-12-10 19:22:04,21,1,3,-0.0205898127279179,1
16,3,24,2015-12-10 19:05:16,,0,0,0,-0.0091513803557525,0
15,4,17,2015-12-10 18:37:07,,0,0,0,-0.0594607186898876,0
14,3,12,2015-12-10 18:35:01,2015-12-10 19:05:16,547,1,2,-0.191381249138944,5
13,4,37,2015-12-10 18:33:38,2015-12-10 18:37:07,203,1,1,0.0285956870632142,1
12,4,12,2015-12-10 18:32:34,2015-12-10 18:33:38,50,1,3,-0.292258424940191,1
11,4,3,2015-12-10 18:32:08,2015-12-10 18:32:34,20,1,3,-0.0183022401242724,1
10,3,9,2015-12-10 18:29:50,2015-12-10 18:35:00,308,1,2,0.394349097696611,1
9,3,7,2015-12-10 18:19:30,2015-12-10 18:29:50,522,1,2,0.201541655199298,5
8,3,3,2015-12-10 18:17:15,2015-12-10 18:19:30,116,1,2,-0.0205898127279179,3
7,1,30,2015-12-10 17:48:54,,0,0,0,0.0480326505243645,0
6,1,46,2015-12-10 17:46:22,2015-12-10 17:48:54,150,1,2,0.109667913089794,2
5,1,46,2015-12-10 17:12:07,,0,0,0,0.109667913089794,0
4,1,19,2015-12-10 17:11:32,2015-12-10 17:12:07,33,1,3,0.030882866266461,1
3,1,12,2015-12-10 17:10:33,2015-12-10 17:11:32,54,1,2,-0.336477012672926,2
2,1,23,2015-12-10 17:06:11,2015-12-10 17:06:36,25,1,0,-0.329872190873567,1
1,1,1,2015-12-10 17:05:24,2015-12-10 17:06:11,46,1,3,-0.0183022401242724,1
